"Pos","Ct SYBR"
"A1",21.15
"A2",31.28
"A3",25.67
"A4",25.61
"A5",26.47
"A6",21.56
"A7",20.76
"A8",30.70
"A9",26.28
"A10",25.19
"A11",26.11
"A12",21.40
"B1",19.21
"B2",21.22
"B3",31.82
"B4",21.97
"B5",21.54
"B6",31.98
"B7",19.01
"B8",21.09
"B9",31.74
"B10",22.52
"B11",21.34
"B12",30.82
"C1",34.47
"C2",22.76
"C3",32.55
"C4",""
"C5",17.88
"C6",28.89
"C7",34.82
"C8",22.58
"C9",32.70
"C10",33.11
"C11",17.82
"C12",28.28
"D1",27.86
"D2",18.91
"D3",28.20
"D4",26.75
"D5",20.73
"D6",24.15
"D7",29.52
"D8",18.41
"D9",28.18
"D10",26.23
"D11",20.35
"D12",23.94
"E1",24.40
"E2",18.59
"E3",23.26
"E4",34.41
"E5",22.11
"E6",22.00
"E7",24.25
"E8",18.68
"E9",23.18
"E10",35.09
"E11",21.72
"E12",22.37
"F1",25.55
"F2",26.48
"F3",32.09
"F4",23.44
"F5",30.49
"F6",21.30
"F7",25.11
"F8",26.06
"F9",32.43
"F10",22.80
"F11",27.79
"F12",20.97
"G1",31.70
"G2",20.11
"G3",29.30
"G4",22.36
"G5",23.63
"G6",30.16
"G7",30.04
"G8",20.07
"G9",28.98
"G10",22.34
"G11",22.86
"G12",29.48
"H1",27.11
"H2",16.35
"H3",19.00
"H4",""
"H5",22.07
"H6",21.86
"H7",26.31
"H8",16.40
"H9",19.12
"H10",""
"H11",21.50
"H12",21.61
